slice_identifier,sample_index,n_slices_expected,n_slices_real,first_slice,last_slice,mix,detector
slice00383,10,50,50,381,430,1,1
slice00384,10,50,50,381,430,1,1
slice00385,10,50,50,381,430,1,1
slice00386,10,50,50,381,430,1,1
slice00387,10,50,50,381,430,1,1
slice00388,10,50,50,381,430,1,1
slice00389,10,50,50,381,430,1,1
slice00390,10,50,50,381,430,1,1
slice00391,10,50,50,381,430,1,1
slice00392,10,50,50,381,430,1,1
slice00393,10,50,50,381,430,1,1
slice00394,10,50,50,381,430,1,1
slice00395,10,50,50,381,430,1,1
slice00396,10,50,50,381,430,1,1
slice00397,10,50,50,381,430,1,1
slice00398,10,50,50,381,430,1,1
slice00399,10,50,50,381,430,1,1
slice00400,10,50,50,381,430,1,1
slice00401,10,50,50,381,430,1,1
slice00402,10,50,50,381,430,1,1
slice00403,10,50,50,381,430,1,1
slice00404,10,50,50,381,430,1,1
slice00405,10,50,50,381,430,1,1
slice00406,10,50,50,381,430,1,1
slice00407,10,50,50,381,430,1,1
slice00408,10,50,50,381,430,1,1
slice00409,10,50,50,381,430,1,1
slice00410,10,50,50,381,430,1,1
slice00411,10,50,50,381,430,1,1
slice00412,10,50,50,381,430,1,1
slice00413,10,50,50,381,430,1,1
slice00414,10,50,50,381,430,1,1
slice00415,10,50,50,381,430,1,1
slice00416,10,50,50,381,430,1,1
slice00417,10,50,50,381,430,1,1
slice00418,10,50,50,381,430,1,1
slice00419,10,50,50,381,430,1,1
slice00420,10,50,50,381,430,1,1
slice00421,10,50,50,381,430,1,1
slice00422,10,50,50,381,430,1,1
slice00423,10,50,50,381,430,1,1
slice00424,10,50,50,381,430,1,1
slice00425,10,50,50,381,430,1,1
slice00426,10,50,50,381,430,1,1
slice00427,10,50,50,381,430,1,1
slice00428,10,50,50,381,430,1,1
slice00429,10,50,50,381,430,1,1
slice00430,10,50,50,381,430,1,1
slice00431,11,50,50,431,480,1,1
slice00432,11,50,50,431,480,1,1
slice00433,11,50,50,431,480,1,1
slice00434,11,50,50,431,480,1,1
slice00435,11,50,50,431,480,1,1
slice00436,11,50,50,431,480,1,1
slice00437,11,50,50,431,480,1,1
slice00438,11,50,50,431,480,1,1
slice00439,11,50,50,431,480,1,1
slice00440,11,50,50,431,480,1,1
slice00441,11,50,50,431,480,1,1
slice00442,11,50,50,431,480,1,1
slice00443,11,50,50,431,480,1,1
slice00444,11,50,50,431,480,1,1
slice00445,11,50,50,431,480,1,1
slice00446,11,50,50,431,480,1,1
slice00447,11,50,50,431,480,1,1
slice00448,11,50,50,431,480,1,1
slice00449,11,50,50,431,480,1,1
slice00450,11,50,50,431,480,1,1
slice00451,11,50,50,431,480,1,1
slice00452,11,50,50,431,480,1,1
slice00453,11,50,50,431,480,1,1
slice00454,11,50,50,431,480,1,1
slice00455,11,50,50,431,480,1,1
slice00456,11,50,50,431,480,1,1
slice00457,11,50,50,431,480,1,1
slice00458,11,50,50,431,480,1,1
slice00459,11,50,50,431,480,1,1
slice00460,11,50,50,431,480,1,1
slice00461,11,50,50,431,480,1,1
slice00462,11,50,50,431,480,1,1
slice00463,11,50,50,431,480,1,1
slice00464,11,50,50,431,480,1,1
slice00465,11,50,50,431,480,1,1
slice00466,11,50,50,431,480,1,1
slice00467,11,50,50,431,480,1,1
slice00468,11,50,50,431,480,1,1
slice00469,11,50,50,431,480,1,1
slice00470,11,50,50,431,480,1,1
slice00471,11,50,50,431,480,1,1
slice00472,11,50,50,431,480,1,1
slice00473,11,50,50,431,480,1,1
slice00474,11,50,50,431,480,1,1
slice00475,11,50,50,431,480,1,1
slice00476,11,50,50,431,480,1,1
slice00477,11,50,50,431,480,1,1
slice00478,11,50,50,431,480,1,1
slice00479,11,50,50,431,480,1,1
slice00480,11,50,50,431,480,1,1
slice00481,12,50,50,481,530,1,1
slice00482,12,50,50,481,530,1,1
slice00483,12,50,50,481,530,1,1
slice00484,12,50,50,481,530,1,1
slice00485,12,50,50,481,530,1,1
slice00486,12,50,50,481,530,1,1
slice00487,12,50,50,481,530,1,1
slice00488,12,50,50,481,530,1,1
slice00489,12,50,50,481,530,1,1
slice00490,12,50,50,481,530,1,1
slice00491,12,50,50,481,530,1,1
slice00492,12,50,50,481,530,1,1
slice00493,12,50,50,481,530,1,1
slice00494,12,50,50,481,530,1,1
slice00495,12,50,50,481,530,1,1
slice00496,12,50,50,481,530,1,1
slice00497,12,50,50,481,530,1,1
slice00498,12,50,50,481,530,1,1
slice00499,12,50,50,481,530,1,1
slice00500,12,50,50,481,530,1,1
slice00501,12,50,50,481,530,1,1
slice00502,12,50,50,481,530,1,1
slice00503,12,50,50,481,530,1,1
slice00504,12,50,50,481,530,1,1
slice00505,12,50,50,481,530,1,1
slice00506,12,50,50,481,530,1,1
slice00507,12,50,50,481,530,1,1
slice00508,12,50,50,481,530,1,1
slice00509,12,50,50,481,530,1,1
slice00510,12,50,50,481,530,1,1
slice00511,12,50,50,481,530,1,1
slice00512,12,50,50,481,530,1,1
slice00513,12,50,50,481,530,1,1
slice00514,12,50,50,481,530,1,1
slice00515,12,50,50,481,530,1,1
slice00516,12,50,50,481,530,1,1
slice00517,12,50,50,481,530,1,1
slice00518,12,50,50,481,530,1,1
slice00519,12,50,50,481,530,1,1
slice00520,12,50,50,481,530,1,1
slice00521,12,50,50,481,530,1,1
slice00522,12,50,50,481,530,1,1
slice00523,12,50,50,481,530,1,1
slice00524,12,50,50,481,530,1,1
slice00525,12,50,50,481,530,1,1
slice00526,12,50,50,481,530,1,1
slice00527,12,50,50,481,530,1,1
slice00528,12,50,50,481,530,1,1
slice00529,12,50,50,481,530,1,1
slice00530,12,50,50,481,530,1,1
slice00531,13,50,50,531,580,1,1
slice00532,13,50,50,531,580,1,1
slice00533,13,50,50,531,580,1,1
slice00534,13,50,50,531,580,1,1
slice00535,13,50,50,531,580,1,1
slice00536,13,50,50,531,580,1,1
slice00537,13,50,50,531,580,1,1
slice00538,13,50,50,531,580,1,1
slice00539,13,50,50,531,580,1,1
slice00540,13,50,50,531,580,1,1
slice00541,13,50,50,531,580,1,1
slice00542,13,50,50,531,580,1,1
slice00543,13,50,50,531,580,1,1
slice00544,13,50,50,531,580,1,1
slice00545,13,50,50,531,580,1,1
slice00546,13,50,50,531,580,1,1
slice00547,13,50,50,531,580,1,1
slice00548,13,50,50,531,580,1,1
slice00549,13,50,50,531,580,1,1
slice00550,13,50,50,531,580,1,1
slice00551,13,50,50,531,580,1,1
slice00552,13,50,50,531,580,1,1
slice00553,13,50,50,531,580,1,1
slice00554,13,50,50,531,580,1,1
slice00555,13,50,50,531,580,1,1
slice00556,13,50,50,531,580,1,1
slice00557,13,50,50,531,580,1,1
slice00558,13,50,50,531,580,1,1
slice00559,13,50,50,531,580,1,1
slice00560,13,50,50,531,580,1,1
slice00561,13,50,50,531,580,1,1
slice00562,13,50,50,531,580,1,1
slice00563,13,50,50,531,580,1,1
slice00564,13,50,50,531,580,1,1
slice00565,13,50,50,531,580,1,1
slice00566,13,50,50,531,580,1,1
slice00567,13,50,50,531,580,1,1
slice00568,13,50,50,531,580,1,1
slice00569,13,50,50,531,580,1,1
slice00570,13,50,50,531,580,1,1
slice00571,13,50,50,531,580,1,1
slice00572,13,50,50,531,580,1,1
slice00573,13,50,50,531,580,1,1
slice00574,13,50,50,531,580,1,1
slice00575,13,50,50,531,580,1,1
slice00576,13,50,50,531,580,1,1
slice00577,13,50,50,531,580,1,1
slice00578,13,50,50,531,580,1,1
slice00579,13,50,50,531,580,1,1
slice00580,13,50,50,531,580,1,1
slice00581,14,50,50,581,630,1,1
slice00582,14,50,50,581,630,1,1
slice00583,14,50,50,581,630,1,1
slice00584,14,50,50,581,630,1,1
slice00585,14,50,50,581,630,1,1
slice00586,14,50,50,581,630,1,1
slice00587,14,50,50,581,630,1,1
slice00588,14,50,50,581,630,1,1
slice00589,14,50,50,581,630,1,1
slice00590,14,50,50,581,630,1,1
slice00591,14,50,50,581,630,1,1
slice00592,14,50,50,581,630,1,1
slice00593,14,50,50,581,630,1,1
slice00594,14,50,50,581,630,1,1
slice00595,14,50,50,581,630,1,1
slice00596,14,50,50,581,630,1,1
slice00597,14,50,50,581,630,1,1
slice00598,14,50,50,581,630,1,1
slice00599,14,50,50,581,630,1,1
slice00600,14,50,50,581,630,1,1
slice00601,14,50,50,581,630,1,1
slice00602,14,50,50,581,630,1,1
slice00603,14,50,50,581,630,1,1
slice00604,14,50,50,581,630,1,1
slice00605,14,50,50,581,630,1,1
slice00606,14,50,50,581,630,1,1
slice00607,14,50,50,581,630,1,1
slice00608,14,50,50,581,630,1,1
slice00609,14,50,50,581,630,1,1
slice00610,14,50,50,581,630,1,1
slice00611,14,50,50,581,630,1,1
slice00612,14,50,50,581,630,1,1
slice00613,14,50,50,581,630,1,1
slice00614,14,50,50,581,630,1,1
slice00615,14,50,50,581,630,1,1
slice00616,14,50,50,581,630,1,1
slice00617,14,50,50,581,630,1,1
slice00618,14,50,50,581,630,1,1
slice00619,14,50,50,581,630,1,1
slice00620,14,50,50,581,630,1,1
slice00621,14,50,50,581,630,1,1
slice00622,14,50,50,581,630,1,1
slice00623,14,50,50,581,630,1,1
slice00624,14,50,50,581,630,1,1
slice00625,14,50,50,581,630,1,1
slice00626,14,50,50,581,630,1,1
slice00627,14,50,50,581,630,1,1
slice00628,14,50,50,581,630,1,1
slice00629,14,50,50,581,630,1,1
slice00630,14,50,50,581,630,1,1
slice00631,15,50,20,631,650,1,1
slice00632,15,50,20,631,650,1,1
slice00633,15,50,20,631,650,1,1
slice00634,15,50,20,631,650,1,1
slice00635,15,50,20,631,650,1,1
slice00636,15,50,20,631,650,1,1
slice00637,15,50,20,631,650,1,1
slice00638,15,50,20,631,650,1,1
slice00639,15,50,20,631,650,1,1
slice00640,15,50,20,631,650,1,1
slice00641,15,50,20,631,650,1,1
slice00642,15,50,20,631,650,1,1
slice00643,15,50,20,631,650,1,1
slice00644,15,50,20,631,650,1,1
slice00645,15,50,20,631,650,1,1
slice00646,15,50,20,631,650,1,1
slice00647,15,50,20,631,650,1,1
slice00648,15,50,20,631,650,1,1
slice00649,15,50,20,631,650,1,1
slice00650,15,50,20,631,650,1,1
slice00651,16,50,50,651,700,1,1
slice00652,16,50,50,651,700,1,1
slice00653,16,50,50,651,700,1,1
slice00654,16,50,50,651,700,1,1
slice00655,16,50,50,651,700,1,1
slice00656,16,50,50,651,700,1,1
slice00657,16,50,50,651,700,1,1
slice00658,16,50,50,651,700,1,1
slice00659,16,50,50,651,700,1,1
slice00660,16,50,50,651,700,1,1
slice00661,16,50,50,651,700,1,1
slice00662,16,50,50,651,700,1,1
slice00663,16,50,50,651,700,1,1
slice00664,16,50,50,651,700,1,1
slice00665,16,50,50,651,700,1,1
slice00666,16,50,50,651,700,1,1
slice00667,16,50,50,651,700,1,1
slice00668,16,50,50,651,700,1,1
slice00669,16,50,50,651,700,1,1
slice00670,16,50,50,651,700,1,1
slice00671,16,50,50,651,700,1,1
slice00672,16,50,50,651,700,1,1
slice00673,16,50,50,651,700,1,1
slice00674,16,50,50,651,700,1,1
slice00675,16,50,50,651,700,1,1
slice00676,16,50,50,651,700,1,1
slice00677,16,50,50,651,700,1,1
slice00678,16,50,50,651,700,1,1
slice00679,16,50,50,651,700,1,1
slice00680,16,50,50,651,700,1,1
slice00681,16,50,50,651,700,1,1
slice00682,16,50,50,651,700,1,1
slice00683,16,50,50,651,700,1,1
slice00684,16,50,50,651,700,1,1
slice00685,16,50,50,651,700,1,1
slice00686,16,50,50,651,700,1,1
slice00687,16,50,50,651,700,1,1
slice00688,16,50,50,651,700,1,1
slice00689,16,50,50,651,700,1,1
slice00690,16,50,50,651,700,1,1
slice00691,16,50,50,651,700,1,1
slice00692,16,50,50,651,700,1,1
slice00693,16,50,50,651,700,1,1
slice00694,16,50,50,651,700,1,1
slice00695,16,50,50,651,700,1,1
slice00696,16,50,50,651,700,1,1
slice00697,16,50,50,651,700,1,1
slice00698,16,50,50,651,700,1,1
slice00699,16,50,50,651,700,1,1
slice00700,16,50,50,651,700,1,1
slice00701,17,50,40,701,740,1,1
slice00702,17,50,40,701,740,1,1
slice00703,17,50,40,701,740,1,1
slice00704,17,50,40,701,740,1,1
slice00705,17,50,40,701,740,1,1
slice00706,17,50,40,701,740,1,1
slice00707,17,50,40,701,740,1,1
slice00708,17,50,40,701,740,1,1
slice00709,17,50,40,701,740,1,1
slice00710,17,50,40,701,740,1,1
slice00711,17,50,40,701,740,1,1
slice00712,17,50,40,701,740,1,1
slice00713,17,50,40,701,740,1,1
slice00714,17,50,40,701,740,1,1
slice00715,17,50,40,701,740,1,1
slice00716,17,50,40,701,740,1,1
slice00717,17,50,40,701,740,1,1
slice00718,17,50,40,701,740,1,1
slice00719,17,50,40,701,740,1,1
slice00720,17,50,40,701,740,1,1
slice00721,17,50,40,701,740,1,1
slice00722,17,50,40,701,740,1,1
slice00723,17,50,40,701,740,1,1
slice00724,17,50,40,701,740,1,1
slice00725,17,50,40,701,740,1,1
slice00726,17,50,40,701,740,1,1
slice00727,17,50,40,701,740,1,1
slice00728,17,50,40,701,740,1,1
slice00729,17,50,40,701,740,1,1
slice00730,17,50,40,701,740,1,1
slice00731,17,50,40,701,740,1,1
slice00732,17,50,40,701,740,1,1
